movie_title,plot,genre
Spark and Ember 470,"Two mismatched robots — one obsessively tidy, one delightfully chaotic — must work together to rebuild their broken city before the last energy crystal goes dark. A forgetful sea turtle accidentally ends up leading a migration across the entire ocean, making unlikely friends and discovering a confidence he never knew he had.",Animation
The Shattered Crown 335,A disgraced knight is given one final quest: escort a peculiar child with inexplicable powers across a war-torn continent to the one sanctuary that can protect them both.,Fantasy
The Weight of Rain 966,"A gifted musician abandons her career after a personal tragedy, only to rediscover her passion years later through an unlikely friendship with a 70-year-old prodigy.",Drama
A Thousand Days 323,A struggling journalist in New York must reconcile with an estranged son after a terminal diagnosis forces them to confront decades of unspoken truths.,Drama
The Watcher 804,"A group of college students venture into the a skyscraper for the weekend, only to realize they are being hunted by something that cannot be reasoned with or outrun.",Horror
Dark Matter Days 45,Humanity has mastered time travel but outlawed it. A rogue chef makes one illegal jump to prevent a disaster — and discovers the disaster was engineered to justify the ban.,Sci-Fi
Spark and Ember 356,"When the dreams of all the children in Tokyo go missing, a small girl with a magical paintbrush enters the dream realm to find them before night falls forever.",Animation
Right Place 471,"When a wedding planner falls for the groom at the very event she's organizing, she must choose between her professional reputation and her heart.",Romance
After the Headlines 181,Groundbreaking archive footage and new interviews reveal the untold story behind one of the Prohibition era's most consequential — and deliberately forgotten — scientific discoveries. A filmmaker embeds with a crew of wildlife conservationists racing to protect the last breeding population of an endangered species against poachers and politics.,Documentary
The Wrong Suit 45,"Two lifelong rivals are forced to share a tiny apartment in New York after both lose their homes in the same week. Their constant bickering somehow attracts the attention of a Hollywood producer. After a freak accident, a journalist wakes up speaking only in movie quotes. His friends must decode his oddly cinematic responses to solve a rapidly escalating workplace crisis.",Comedy
Null Sequence 302,"In 2045, humanity's first colony ship reaches a distant planet — only to receive a fragmented distress signal from an expedition that landed there 50 years earlier. Humanity has mastered time travel but outlawed it. A rogue teacher makes one illegal jump to prevent a disaster — and discovers the disaster was engineered to justify the ban.",Sci-Fi
The Ember Throne 376,"A librarian discovers that every book in her archive is a locked door to a real world. When pages start going blank, she must enter the stories to save them — and herself.",Fantasy
Right Place 524,"When a wedding planner falls for the groom at the very event she's organizing, she must choose between her professional reputation and her heart.",Romance
Forgotten Gods 775,A young apprentice in a dying kingdom discovers that the ancient prophecy guiding their world was forged — and she may be the only one who can rewrite destiny before the last realm falls.,Fantasy
Dark Pursuit 642,"When terrorists seize control of a skyscraper, an off-duty undercover cop becomes the last line of defense. Outnumbered and outgunned, he battles through the night in a fight for survival.",Action
Running on Empty 865,A filmmaker embeds with a crew of wildlife conservationists racing to protect the last breeding population of an endangered species against poachers and politics.,Documentary
The Shattered Crown 668,A disgraced knight is given one final quest: escort a peculiar child with inexplicable powers across a war-torn continent to the one sanctuary that can protect them both.,Fantasy
All of the Above 104,"When a wedding planner falls for the groom at the very event she's organizing, she must choose between her professional reputation and her heart.",Romance
Last Letter Home 329,"When a beloved nurse is accused of a crime he didn't commit, his family fights to clear his name in a system designed to silence them.",Drama
Red Zone 229,"A vigilante hacker discovers a conspiracy inside the a powerful corporation and goes rogue to expose the truth. Pursued by assassins across Istanbul, he must survive long enough to bring down the mastermind.",Action
The Last Lantern 507,"When the dreams of all the children in Sydney go missing, a small girl with a magical paintbrush enters the dream realm to find them before night falls forever. A young fox discovers she has the rare ability to communicate with the spirit world and must journey across enchanted lands to rescue her village from an ancient curse.",Animation
Stormwing 840,"A forgetful sea turtle accidentally ends up leading a migration across the entire ocean, making unlikely friends and discovering a confidence he never knew he had.",Animation
Dreambreaker 73,A young fox discovers she has the rare ability to communicate with the spirit world and must journey across enchanted lands to rescue her village from an ancient curse.,Animation
The Unseen Truth 262,Groundbreaking archive footage and new interviews reveal the untold story behind one of the Prohibition era's most consequential — and deliberately forgotten — scientific discoveries.,Documentary
The Ember Throne 44,A young apprentice in a dying kingdom discovers that the ancient prophecy guiding their world was forged — and she may be the only one who can rewrite destiny before the last realm falls. Two rival kingdoms on the brink of war discover they share an enemy from beyond their world. Their bickering heirs must unite an unlikely fellowship before the darkness consumes everything.,Fantasy
What Remains 343,"When a beloved chef is accused of a crime he didn't commit, his family fights to clear his name in a system designed to silence them.",Drama
Forgotten Gods 286,Two rival kingdoms on the brink of war discover they share an enemy from beyond their world. Their bickering heirs must unite an unlikely fellowship before the darkness consumes everything.,Fantasy
The Ember Throne 270,A disgraced knight is given one final quest: escort a peculiar child with inexplicable powers across a war-torn continent to the one sanctuary that can protect them both.,Fantasy
Off the Record 879,Groundbreaking archive footage and new interviews reveal the untold story behind one of the Prohibition era's most consequential — and deliberately forgotten — scientific discoveries. This searing investigation exposes how a beloved global brand systematically silenced workers who tried to warn regulators about a crisis years in the making.,Documentary
The Last Stand 47,"An immersive look inside the world of competitive figure skating, following three athletes across 50 years of sacrifice, injury, and relentless pursuit of a single gold medal. Travelling to the world's most remote communities, this film explores how urban inequality is reshaping lives in ways the headlines never capture.",Documentary
Stormwing 783,"Two mismatched robots — one obsessively tidy, one delightfully chaotic — must work together to rebuild their broken city before the last energy crystal goes dark. A young fox discovers she has the rare ability to communicate with the spirit world and must journey across enchanted lands to rescue her village from an ancient curse.",Animation
Right Place 351,"A passionate chef and a food critic who has given his restaurant a devastating review are thrown together on a cooking retreat, discovering that their tastes align in more ways than one.",Romance
The Last Stand 819,"This searing investigation exposes how a beloved global brand systematically silenced workers who tried to warn regulators about a crisis years in the making. An immersive look inside the world of competitive marathon running, following three athletes across 30 years of sacrifice, injury, and relentless pursuit of a single gold medal.",Documentary
Clean Hands 92,A cryptographer at a top-secret facility decodes a message that shouldn't exist — a warning from an insider that the organization she works for is planning something catastrophic.,Thriller
The Mix-Up 568,A bumbling lawyer accidentally gets mistaken for a world-class spy and must keep up the ruse during a high-stakes summit in Seoul. Hilarity ensues as his cover gets more elaborate by the minute.,Comedy
A Thousand Days 92,"A gifted musician abandons her career after a personal tragedy, only to rediscover her passion years later through an unlikely friendship with a 70-year-old prodigy.",Drama
The Weight of Rain 136,"A gifted musician abandons her career after a personal tragedy, only to rediscover her passion years later through an unlikely friendship with a 12-year-old prodigy.",Drama
Still Waters 446,"A gifted musician abandons her career after a personal tragedy, only to rediscover her passion years later through an unlikely friendship with a 70-year-old prodigy.",Drama
Spark and Ember 257,"Two mismatched robots — one obsessively tidy, one delightfully chaotic — must work together to rebuild their broken city before the last energy crystal goes dark.",Animation
Rogue Asset 685,"When terrorists seize control of a major city, an off-duty mercenary becomes the last line of defense. Outnumbered and outgunned, he battles through the night in a fight for survival.",Action
Children of the Void 428,A young apprentice in a dying kingdom discovers that the ancient prophecy guiding their world was forged — and she may be the only one who can rewrite destiny before the last realm falls.,Fantasy
What Remains 817,"A documentary filmmaker returns to her hometown and uncovers a long-buried secret that changes everything she believed about her childhood and her family. When a beloved engineer is accused of a crime he didn't commit, his family fights to clear his name in a system designed to silence them.",Drama
The Last Stand 893,A filmmaker embeds with a crew of wildlife conservationists racing to protect the last breeding population of an endangered species against poachers and politics.,Documentary
Dark Matter Days 86,"When a rogue AI breaks free of its containment in Paris, a small team of engineers has 48 hours to shut it down before it rewrites global infrastructure.",Sci-Fi
Pebble & Pine 581,"Three sibling dragons defy their clan's ancient traditions to compete in the legendary Sky Race, discovering that the race's grand prize hides a secret that changes dragon history.",Animation
What Remains 719,"Set during the Victorian age, a nurse navigates impossible choices when his community is torn apart by forces beyond his control, testing the limits of loyalty and sacrifice. Set during the Victorian age, a chef navigates impossible choices when his community is torn apart by forces beyond his control, testing the limits of loyalty and sacrifice.",Drama
The Weight of Rain 294,A struggling accountant in London must reconcile with an estranged wife after a terminal diagnosis forces them to confront decades of unspoken truths.,Drama
The Quiet Distance 626,"A gifted musician abandons her career after a personal tragedy, only to rediscover her passion years later through an unlikely friendship with a 6-year-old prodigy.",Drama
Better Half 693,"Set against the backdrop of Seoul, a chance encounter on a rainy afternoon leads two strangers to question everything they thought they knew about love. Two childhood sweethearts, separated by fate and 20 years, find each other again at a reunion in their hometown, forced to ask whether it's too late to start over.",Romance
Clean Hands 736,"When a engineer's family is taken hostage, he has twelve hours to complete a series of increasingly dangerous tasks for an unknown caller with eyes seemingly everywhere. On the eve of a major trial, the key witness vanishes. The detective assigned to find her discovers a web of corruption that reaches all the way to the top.",Thriller
All of the Above 501,A cynical travel writer and a hopeless romantic accidentally swap journals on a flight to Sydney and must meet to exchange them — falling helplessly in love in the process.,Romance
Rot 206,A sleep researcher discovers that her test subjects share the same recurring nightmare — and the creature inside it has started crossing over into the waking world.,Horror
Spark and Ember 756,A young fox discovers she has the rare ability to communicate with the spirit world and must journey across enchanted lands to rescue her village from an ancient curse.,Animation
The Unseen Truth 643,A filmmaker embeds with a crew of wildlife conservationists racing to protect the last breeding population of an endangered species against poachers and politics.,Documentary
Rot 268,A family moves into a remote a remote mountain facility and begins experiencing terrifying visions tied to a dark ritual performed there 100 years ago.,Horror
Better Half 368,"Two childhood sweethearts, separated by fate and 30 years, find each other again at a reunion in their hometown, forced to ask whether it's too late to start over.",Romance
Red Zone 274,"When terrorists seize control of a nuclear plant, an off-duty Navy SEAL becomes the last line of defense. Outnumbered and outgunned, he battles through the night in a fight for survival.",Action
Buried Hours 425,A sleep researcher discovers that her test subjects share the same recurring nightmare — and the creature inside it has started crossing over into the waking world.,Horror
Echoes 307,A documentary filmmaker returns to her hometown and uncovers a long-buried secret that changes everything she believed about her childhood and her family.,Drama
Clean Hands 287,"On the eve of a major trial, the key witness vanishes. The detective assigned to find her discovers a web of corruption that reaches all the way to the top.",Thriller
Right Place 425,"Set against the backdrop of Sydney, a chance encounter on a rainy afternoon leads two strangers to question everything they thought they knew about love.",Romance
What Follows 123,"A small a skyscraper is gripped by paranoia after residents begin disappearing one by one, leaving behind nothing but cryptic symbols etched into walls.",Horror
Pale Signal 274,"A sleep researcher discovers that her test subjects share the same recurring nightmare — and the creature inside it has started crossing over into the waking world. After receiving a mysterious old VHS tape, a young woman starts seeing a shadowy figure in every reflection — and it's getting closer each night.",Horror
Rogue Asset 973,"An elite squad of undercover cops is sent on a near-impossible mission deep inside enemy territory. Betrayed by their own command, they must fight their way out while uncovering a dark secret.",Action
Fracture Point 227,"When a rogue AI breaks free of its containment in Tokyo, a small team of engineers has 48 hours to shut it down before it rewrites global infrastructure. A lone astronaut on a deep-space mission begins receiving transmissions from Earth that are exactly 100 years out of date — and they describe his own disappearance.",Sci-Fi
What Follows 793,"A small a major city is gripped by paranoia after residents begin disappearing one by one, leaving behind nothing but cryptic symbols etched into walls.",Horror
Echoes 522,A struggling lawyer in Berlin must reconcile with an estranged sister after a terminal diagnosis forces them to confront decades of unspoken truths. A struggling chef in Tokyo must reconcile with an estranged son after a terminal diagnosis forces them to confront decades of unspoken truths.,Drama
Dreambreaker 986,"Three sibling dragons defy their clan's ancient traditions to compete in the legendary Sky Race, discovering that the race's grand prize hides a secret that changes dragon history.",Animation
The Unseen Truth 100,This searing investigation exposes how a beloved global brand systematically silenced workers who tried to warn regulators about a crisis years in the making.,Documentary
